Date,Return
2015-12-04,-0.20932542299349483
2015-12-07,-1.2505366724361673
2015-12-08,0.05616310572686456
2015-12-09,-1.3153192377913168
2015-12-10,0.06896769744159931
2015-12-11,-0.8628795840477902
2015-12-14,2.1858024323402154
2015-12-15,0.32573289902280134
2015-12-16,-0.7647711707841007
2015-12-17,0.3602150537634409
2015-12-18,-1.3714858438235662
2015-12-21,0.2636797047354792
2015-12-22,-0.27645367170625595
2015-12-23,-0.0010745415318155565
2015-12-24,-0.7521739167970622
2015-12-28,0.9046646417573773
2015-12-29,-0.10879679418878896
2015-12-30,-1.0739660340737471
2015-12-31,0.7619401569653445
2016-01-01,0.37870590781216185
2016-01-04,-1.1726018985976243
2016-01-05,-0.717399071752341
2016-01-06,-2.421607033972133
2016-01-07,-4.085675102432384
2016-01-08,-1.6692673927413173
2016-01-11,1.9665847732696924
2016-01-12,-0.9512761020881672
2016-01-13,-0.1570497906002792
2016-01-14,0.21821184241566405
2016-01-15,0.19578189917936434
2016-01-18,-1.0002291423229646
2016-01-19,-1.010377222353216
2016-01-20,-2.659571552780549
2016-01-21,-4.730780115254342
2016-01-22,4.108605131011471
2016-01-25,-1.0809654720032427
2016-01-27,-0.461142701525046
2016-01-28,0.5710736519607758
2016-01-29,4.352868738853501
2016-02-01,-3.7223513289254653
2016-02-02,-1.9645333470312492
2016-02-03,-1.0762248578811398
2016-02-04,-1.7947747929606597
2016-02-05,-1.6196805504701408
2016-02-08,-0.43878236863163655
2016-02-09,-0.7571208141112649
2016-02-10,1.0632292527998513
2016-02-11,-3.003208459282286
2016-02-12,-0.570030756302518
2016-02-15,2.920175000509871
2016-02-16,-0.5382202268304126
2016-02-17,1.8818446654585117
2016-02-18,-3.3851239669421487
2016-02-19,-1.671705989010986
2016-02-22,-0.5142681831025728
2016-02-23,-1.206801643059487
2016-02-24,-0.2928613306904971
2016-02-25,-2.721069128450066
2016-02-26,-1.2398623696407862
2016-02-29,-5.5036496350364965
2016-03-01,9.16929641619265
2016-03-02,1.9672857918957392
2016-03-03,-0.47300311016129704
2016-03-04,-1.7656784194528905
2016-03-08,-2.541551393781509
2016-03-09,3.518236697747464
2016-03-10,0.755554194444446
2016-03-11,0.20640119165414272
2016-03-14,-0.3237731693989041
2016-03-15,-0.4209795912806555
2016-03-16,0.47534515068492844
2016-03-17,-1.3807735469188156
2016-03-18,-0.5109917032967003
2016-03-21,1.0867455424090087
2016-03-22,0.8326532842736425
2016-03-23,0.6506163062191664
2016-03-28,-3.193669832402233
2016-03-29,2.2184146615511113
2016-03-30,-0.46862614152202786
2016-03-31,-0.6204024869634993
2016-04-01,0.6147901012376102
2016-04-04,-1.3855421686746987
2016-04-05,-3.295699183895542
2016-04-06,0.14153724775784599
2016-04-07,-2.4040489245044285
2016-04-08,-0.8482687283236963
2016-04-11,1.2118097759674167
2016-04-12,2.9825370716801096
2016-04-13,3.282593357320783
2016-04-18,-0.04972312340452479
2016-04-20,-1.4579738094213919
2016-04-21,0.2787564005412705
2016-04-22,3.052931379962191
2016-04-25,-2.053286697348437
2016-04-26,4.522077125961642
2016-04-27,0.4764209089351418
2016-04-28,-1.8604359518198468
2016-04-29,1.4069989845002702
2016-05-02,0.814500297329142
2016-05-03,-0.5428581996979632
2016-05-04,0.30394865789473535
2016-05-05,0.3098064836601278
2016-05-06,-0.2872100194710874
2016-05-09,0.4308093994778068
2016-05-10,-0.14803145046098054
2016-05-11,2.369738131578946
2016-05-12,-0.7889660148220173
2016-05-13,-0.2528526970954357
2016-05-16,0.2997441343669222
2016-05-17,1.533002692045304
2016-05-18,-0.35380133441858025
2016-05-19,0.682053794871792
2016-05-20,1.574486359454704
2016-05-23,-1.2651337537840595
2016-05-24,0.26572389671918345
2016-05-25,2.860941008105371
2016-05-26,1.328740157480315
2016-05-27,0.7752667627829332
2016-05-30,-1.4581316553727008
2016-05-31,2.502465467980293
2016-06-01,-0.12827814874860502
2016-06-02,0.8831301686747015
2016-06-03,0.6154429971049312
2016-06-06,-1.7552182163187855
2016-06-07,-0.9425173173652669
2016-06-08,0.7044322924231394
2016-06-09,0.41184710692555054
2016-06-10,-1.2868861909402276
2016-06-13,1.4911634756995582
2016-06-14,-0.97708082026538
2016-06-15,2.050911466666664
2016-06-16,-1.8245168750000027
2016-06-17,-0.012150668286755772
2016-06-20,1.3896590332282808
2016-06-21,0.27496145682585893
2016-06-22,0.15319898673099852
2016-06-23,0.4022302173507404
2016-06-24,0.4206772514187008
2016-06-27,-0.8840163014035979
2016-06-28,0.9304360715689495
2016-06-29,0.7621951219512195
2016-06-30,0.17465234027511498
2016-07-01,-0.5538890191755846
2016-07-04,0.06712550947014267
2016-07-05,-0.1590885645933041
2016-07-07,-0.9566860171353879
2016-07-08,0.4780252293577898
2016-07-11,1.9582292362768414
2016-07-12,1.6372070232558167
2016-07-13,-0.6574735172413767
2016-07-14,2.364766643550616
2016-07-15,0.4955012359550483
2016-07-18,-0.49698458789367883
2016-07-19,0.6845932542880937
2016-07-20,-0.06038207768206317
2016-07-21,-1.6774293829360583
2016-07-22,-0.14249728568196451
2016-07-25,2.7908245990512683
2016-07-26,-2.2698731019633476
2016-07-27,1.0609072360767482
2016-07-28,4.029264031447914
2016-07-29,0.138920185224161
2016-08-01,1.402385985795788
2016-08-02,1.756118469387748
2016-08-03,-2.812614543786765
2016-08-04,-1.1193144186046489
2016-08-05,0.4604574507013643
2016-08-08,0.23594377510040163
2016-08-09,-0.979057565210416
2016-08-10,-2.2793950150753792
2016-08-11,0.3403838601925925
